Es-254,0.061621622,0.00709,0.0242
Es-254m,0.093243243,4.74,20
Es-256,0.009,0.00813,0.0278
Eu-142,0.181351351,5.85,20.4
Eu-142m,0.516216216,7.95,27.3
Eu-143,0.167837838,6.59,26.6
Eu-144,0.165135135,5.84,21.1
Eu-145,0.186216216,11.4,39.4
Eu-146,0.354054054,9.31,32.6
Eu-147,0.076756757,4.85,26.5
Eu-148,0.340540541,7.14,25.9
Eu-149,0.016918919,0.0844,3.08
Eu-150,0.241081081,4.68,20.7
Eu-150m,0.008,3.41,19.3
Eu-152,0.174054054,9.52,36.7
Eu-152m,0.045405405,9.31,32
Eu-152n,0.011891892,0.133,0.537
Eu-154,0.180810811,11.2,37.1
Eu-154m,0.014162162,0.0809,0.439
Eu-155,0.009486486,0.162,0.764
Eu-156,0.167837838,14.6,46.5
Eu-157,0.048648649,2.53,12.1
Eu-158,0.185675676,12.4,38.9
Eu-159,0.051351351,3.77,24.5
F-17,0.158378378,4.96,15.1
F-18,0.153513514,4.95,15.1
Fe-52,0.111351351,3.5,13.9
Fe-53,0.181621622,4.67,15
Fe-53m,0.432432432,13,40.9
Fe-59,0.167567568,14.7,43.1
Fe-61,0.194054054,13.7,43.1
Fe-62,0.078648649,4.88,14.9
Fm-251,0.055405405,0.0213,4.78
Fm-252,0.005054054,0.00744,0.0251
Fm-253,0.060810811,0.00947,0.104
Fm-254,0.005891892,0.00998,4.87
Fm-255,0.053783784,0.00718,0.0243
Fm-256,1.645945946,12.2,45.5
Fm-257,0.067837838,0.0141,1.06
Fr-212,0.163783784,10.4,39.4
Fr-219,0.000535135,2.67,10.1
Fr-220,0.001943243,0.1,0.889
Fr-221,0.00427027,0.769,2.57
Fr-222,0.040810811,0.356,7.97
Fr-223,0.021297297,0.0172,1.13
Fr-224,0.085405405,7.55,37.1
Fr-227,0.077297297,2.78,16.9
Ga-64,0.451351351,10.9,43
Ga-65,0.176486486,4.95,17.1
Ga-66,0.313513514,12.8,48.7
Ga-67,0.021702703,0.861,4.8
Ga-68,0.146756757,5.12,16
Ga-70,0.001048649,11.9,37.1
Ga-72,0.362162162,14,46
Ga-73,0.052432432,2.14,9.6
Ga-74,0.408108108,14.3,50.1
Gd-142,0.157567568,6.14,25.8
Gd-143m,0.316216216,6.54,29.2
Gd-144,0.131621622,7.13,33
Gd-145m,0.105675676,7.34,23.4
Gd-145,0.316216216,14.8,51.1
Gd-146,0.046756757,0.128,0.692
Gd-147,0.214054054,5.89,27.5
Gd-149,0.085945946,2.23,16
Gd-151,0.01727027,0.0839,1.09
Gd-153,0.022891892,0.0783,0.349
Gd-159,0.009243243,1.38,6.79
Gd-162,0.064864865,3.37,10.7
Ge-66,0.104594595,3.62,15.3
Ge-67,0.211891892,5.37,21.1
Ge-69,0.139189189,9.4,33.4
Ge-75,0.005189189,1.27,4.29
Ge-77,0.157297297,4.92,26.9
Ge-78,0.041351351,1.37,4.27
Hf-167,0.095405405,3.2,12.4
Hf-169,0.10027027,3.99,13.6
Hf-170,0.067297297,2.58,15.1
Hf-172,0.025486486,0.0552,0.368
Hf-173,0.057837838,0.639,6.03
Hf-175,0.055135135,1.62,6.43
Hf-177m,0.340540541,1.5,7.12
Hf-178m,0.337837838,2.78,12.1
Hf-179m,0.138378378,1.79,8.53
Hf-180m,0.14972973,2.08,8.84
Hf-181,0.080540541,3.22,12.2
Hf-182,0.035135135,1.13,3.8
Hf-182m,0.137297297,3.59,18.9
Hf-183,0.116756757,7.31,25.9
Hf-184,0.034864865,0.817,5.13
Hg-190,0.026621622,0.323,1.16
Hg-191m,0.215405405,5.96,30.6
Hg-192,0.038918919,0.722,3.52
Hg-193,0.117567568,8.92,37.4
Hg-193m,0.147567568,7.99,34.5
Hg-195,0.028378378,4.25,24.8
Hg-195m,0.029189189,1.66,11.9
Hg-197,0.009432432,0.216,0.727
Hg-197m,0.012459459,0.359,1.6
Hg-199m,0.025027027,0.602,4.32
Hg-203,0.035135135,1.32,4.25
Hg-205,0.000702703,0.719,2.25
Hg-206,0.018162162,1.96,7.72
Hg-207,0.359459459,14,47.3
Ho-150,0.289189189,6.8,22.5
Ho-153,0.157837838,4.61,20.5
Ho-153m,0.164324324,4.22,17
Ho-154m,0.372972973,4.68,18.9
Ho-154,0.281081081,5.78,25.2
Ho-155,0.094054054,4.22,24
Ho-156,0.302702703,7.79,35.7
Ho-157,0.093243243,2.6,19.3
Ho-159,0.062702703,0.604,11.4
Ho-160,0.257297297,8.79,29.3
Ho-161,0.022621622,0.0335,0.187
Ho-162,0.027837838,3.18,28.1
Ho-162m,0.084864865,7.25,35.2
Ho-164,0.006810811,0.0764,0.257
Ho-164m,0.010972973,0.0701,0.24
Ho-166,0.004324324,5.68,39.3
Ho-166m,0.244594595,6.42,24.3
Ho-167,0.056216216,1.99,7.03
Ho-168,0.130810811,9.16,29.1
Ho-168m,0.001435135,0.0777,0.25
Ho-170,0.250810811,9.45,32.8
I-118m,0.57027027,7.31,25.7
I-118,0.305405405,6.6,23.7
I-119,0.15027027,3.1,14.6
I-120,0.37027027,9.31,40.3
I-120m,0.524324324,7.74,29.6
I-121,0.079459459,1,10.5
I-122,0.152702703,5.01,16.3
I-123,0.048108108,0.0667,1.12
I-124,0.178108108,7.2,30.5
I-125,0.047297297,0.0211,0.0623
I-126,0.077837838,3.98,17.5
I-128,0.011891892,3.24,12.2
I-129,0.018702703,0.0269,0.0805
I-130m,0.020702703,3.87,17.5
I-130,0.327027027,7.01,22.8
I-131,0.059459459,2.74,9.93
I-132,0.337837838,8.93,28.9
I-132m,0.061621622,4.94,20.6
I-133,0.093783784,6.05,20.3
I-134m,0.062432432,0.595,4.99
I-134,0.381081081,10.6,33.8
I-135,0.217297297,14.9,46.1
In-103,0.391891892,8.32,35
In-105,0.291891892,6.82,29.7
In-106,0.540540541,7.92,27.3
In-106m,0.397297297,8.84,37.1
In-107,0.234324324,7.46,37.5
In-108,0.594594595,9.44,34.1
In-108m,0.375675676,10.4,44.3
In-109,0.124864865,2.6,24.8
In-109m,0.095405405,6.99,21.3
In-110,0.494594595,8.58,28.7
In-110m,0.245405405,6.55,24.2
In-111,0.093513514,0.257,1.96
In-111m,0.076486486,4.99,15.9
In-112,0.052162162,3.46,14.6
In-112m,0.027567568,0.018,0.114
In-113m,0.05,1.98,8.36
In-114,0.000472973,5.86,35.2
In-114m,0.026405405,0.0473,8.81
In-115m,0.038378378,0.74,5.29
In-116m,0.340540541,14.6,45.3
In-117,0.108378378,3.87,15.4
In-117m,0.021432432,0.334,3.82
In-118m,0.397297297,12.9,40
In-118,0.010918919,14.6,44
In-119,0.123513514,8.31,26.1
In-119m,0.012783784,6.12,34.1
In-121,0.137567568,10.8,32.7
In-121m,0.022675676,0.0375,18.1
Ir-180,0.241081081,5.32,20.9
Ir-182,0.21,5.3,23.7
Ir-183,0.165135135,8.93,40.2
Ir-184,0.281081081,7.64,34.5
Ir-185,0.115675676,10.7,45.6
Ir-186,0.235945946,7,34.1
Ir-186m,0.176216216,9.83,37
Ir-187,0.049189189,4.85,24
Ir-188,0.272972973,14.9,51.2
Ir-189,0.011189189,0.243,1.42
Ir-190,0.224324324,4.26,16.7
Ir-190n,0.008432432,0.166,0.609
Ir-191m,0.009837838,0.227,0.715
Ir-192,0.124324324,2.67,10.5
Ir-192m,3.43243E-06,0.117,0.374
Ir-192n,8.24324E-05,0.221,0.776
Ir-193m,4.21622E-05,0.172,0.565
Ir-194,0.013324324,3.7,22.5
Ir-194m,0.359459459,4.47,16.3
Ir-195,0.008,0.211,0.775
Ir-195m,0.056486486,2.69,12.6
